features,n_features,score,removed_feature,phase
"['Avg_Home_Goals', 'Avg_Home_ShotsOnTarget', 'Avg_Home_Yellow', 'Avg_Home_Red', 'Home_Trend', 'Avg_Home_HomeWins', 'Avg_Home_TotalWins', 'Avg_Away_Goals', 'Avg_Away_Shots', 'Avg_Away_ShotsOnTarget', 'Avg_Away_Red', 'Away_Trend', 'Avg_Away_AwayWins', 'Avg_Away_TotalWins', 'Avg_Total_Shots', 'Avg_Total_Red', 'Avg_Total_Yellow', 'Avg_Total_Trend']",18,0.4556375249500998,Avg_Away_Yellow,base
"['Avg_Home_Goals', 'Avg_Home_Shots', 'Avg_Home_ShotsOnTarget', 'Avg_Home_Yellow', 'Avg_Home_Red', 'Home_Trend', 'Avg_Home_HomeWins', 'Avg_Home_TotalWins', 'Avg_Away_Goals', 'Avg_Away_Shots', 'Avg_Away_ShotsOnTarget', 'Avg_Away_Yellow', 'Avg_Away_Red', 'Away_Trend', 'Avg_Away_AwayWins', 'Avg_Away_TotalWins', 'Avg_Total_ShotsOnTarget', 'Avg_Total_Shots', 'Avg_Total_Yellow', 'Avg_Total_Trend']",20,0.45482475049900195,Avg_Total_Red,additional
"['Avg_Home_Goals', 'Avg_Home_Shots', 'Avg_Home_ShotsOnTarget', 'Avg_Home_Yellow', 'Avg_Home_Red', 'Home_Trend', 'Avg_Home_HomeWins', 'Avg_Home_TotalWins', 'Avg_Away_Goals', 'Avg_Away_Shots', 'Avg_Away_ShotsOnTarget', 'Avg_Away_Yellow', 'Avg_Away_Red', 'Away_Trend', 'Avg_Away_AwayWins', 'Avg_Away_TotalWins', 'Avg_Total_ShotsOnTarget', 'Avg_Total_Shots', 'Avg_Total_Red', 'Avg_Total_Yellow']",20,0.45443672654690614,Avg_Total_Trend,additional
"['Avg_Home_Goals', 'Avg_Home_Shots', 'Avg_Home_ShotsOnTarget', 'Avg_Home_Yellow', 'Avg_Home_Red', 'Home_Trend', 'Avg_Home_HomeWins', 'Avg_Home_TotalWins', 'Avg_Away_Goals', 'Avg_Away_Shots', 'Avg_Away_ShotsOnTarget', 'Avg_Away_Yellow', 'Avg_Away_Red', 'Away_Trend', 'Avg_Away_AwayWins', 'Avg_Away_TotalWins', 'Avg_Total_ShotsOnTarget', 'Avg_Total_Shots', 'Avg_Total_Red', 'Avg_Total_Trend']",20,0.4540391217564871,Avg_Total_Yellow,additional
"['Avg_Home_Goals', 'Avg_Home_Shots', 'Avg_Home_ShotsOnTarget', 'Avg_Home_Yellow', 'Avg_Home_Red', 'Home_Trend', 'Avg_Home_HomeWins', 'Avg_Home_TotalWins', 'Avg_Away_Goals', 'Avg_Away_Shots', 'Avg_Away_ShotsOnTarget', 'Avg_Away_Yellow', 'Avg_Away_Red', 'Away_Trend', 'Avg_Away_AwayWins', 'Avg_Away_TotalWins', 'Avg_Total_ShotsOnTarget', 'Avg_Total_Red', 'Avg_Total_Yellow', 'Avg_Total_Trend']",20,0.4532375249500998,Avg_Total_Shots,additional
"['Avg_Home_Goals', 'Avg_Home_Yellow', 'Avg_Home_Red', 'Home_Trend', 'Avg_Home_HomeWins', 'Avg_Home_TotalWins', 'Avg_Away_Goals', 'Avg_Away_Shots', 'Avg_Away_ShotsOnTarget', 'Avg_Away_Yellow', 'Avg_Away_Red', 'Away_Trend', 'Avg_Away_AwayWins', 'Avg_Away_TotalWins', 'Avg_Total_Shots', 'Avg_Total_Red', 'Avg_Total_Yellow', 'Avg_Total_Trend']",18,0.45323353293413177,Avg_Home_ShotsOnTarget,base
"['Avg_Home_Goals', 'Avg_Home_ShotsOnTarget', 'Avg_Home_Yellow', 'Avg_Home_Red', 'Home_Trend', 'Avg_Home_HomeWins', 'Avg_Home_TotalWins', 'Avg_Away_Goals', 'Avg_Away_ShotsOnTarget', 'Avg_Away_Yellow', 'Avg_Away_Red', 'Away_Trend', 'Avg_Away_AwayWins', 'Avg_Away_TotalWins', 'Avg_Total_Shots', 'Avg_Total_Red', 'Avg_Total_Yellow', 'Avg_Total_Trend']",18,0.45323273453093815,Avg_Away_Shots,base
"['Avg_Home_Goals', 'Avg_Home_ShotsOnTarget', 'Avg_Home_Yellow', 'Avg_Home_Red', 'Home_Trend', 'Avg_Home_HomeWins', 'Avg_Home_TotalWins', 'Avg_Away_Goals', 'Avg_Away_Shots', 'Avg_Away_ShotsOnTarget', 'Avg_Away_Yellow', 'Avg_Away_Red', 'Away_Trend', 'Avg_Away_AwayWins', 'Avg_Total_Shots', 'Avg_Total_Red', 'Avg_Total_Yellow', 'Avg_Total_Trend']",18,0.4520415169660679,Avg_Away_TotalWins,base
"['Avg_Home_Goals', 'Avg_Home_Shots', 'Avg_Home_ShotsOnTarget', 'Avg_Home_Yellow', 'Avg_Home_Red', 'Home_Trend', 'Avg_Home_HomeWins', 'Avg_Away_Goals', 'Avg_Away_Shots', 'Avg_Away_ShotsOnTarget', 'Avg_Away_Yellow', 'Avg_Away_Red', 'Away_Trend', 'Avg_Away_AwayWins', 'Avg_Away_TotalWins', 'Avg_Total_Shots', 'Avg_Total_Red', 'Avg_Total_Yellow', 'Avg_Total_Trend']",19,0.44804870259481044,Avg_Home_TotalWins,base
"['Avg_Home_Goals', 'Avg_Home_Shots', 'Avg_Home_ShotsOnTarget', 'Avg_Home_Yellow', 'Avg_Home_Red', 'Home_Trend', 'Avg_Home_HomeWins', 'Avg_Home_TotalWins', 'Avg_Away_Goals', 'Avg_Away_Shots', 'Avg_Away_ShotsOnTarget', 'Avg_Away_Yellow', 'Avg_Away_Red', 'Away_Trend', 'Avg_Away_AwayWins', 'Avg_Away_TotalWins', 'Avg_Total_ShotsOnTarget', 'Avg_Total_Shots', 'Avg_Total_Red', 'Avg_Total_Yellow', 'Avg_Total_Trend']",21,0.4480471057884231,,initial
