Index;Season;Date;HomeTeam;AwayTeam;HomeTeamGoals;AwayTeamGoals;Result;HomeTeamShots;AwayTeamShots;HomeTeamShotsOnTarget;AwayTeamShotsOnTarget;HomeTeamCorners;AwayTeamCorners;HomeTeamYellow;AwayTeamYellow;HomeTeamRed;AwayTeamRed;HomeTeamFouls;AwayTeamFouls;Gameday
144;2017;04/12/17;Ingolstadt;Braunschweig;0;2;A;28;7;3;3;7;2;2;4;0;0;12;13;16
145;2017;08/12/17;Braunschweig;Holstein Kiel;0;0;D;5;14;2;3;3;7;1;3;0;0;10;17;17
146;2017;08/12/17;Erzgebirge Aue;Darmstadt;1;0;H;15;13;5;3;8;5;0;4;0;0;19;15;17
147;2017;09/12/17;Regensburg;Bochum;0;1;A;23;8;5;5;8;0;1;3;0;0;13;18;17
148;2017;09/12/17;Greuther Furth;Heidenheim;1;0;H;15;12;8;4;5;8;3;3;0;0;14;13;17
149;2017;09/12/17;Union Berlin;Dresden;0;1;A;15;15;2;2;7;8;1;2;0;0;14;12;17
150;2017;10/12/17;St Pauli;Duisburg;2;2;D;12;15;3;5;1;4;4;4;1;0;17;18;17
151;2017;10/12/17;Sandhausen;Bielefeld;3;1;H;10;17;6;6;7;6;1;2;0;0;19;21;17
152;2017;10/12/17;Kaiserslautern;Ingolstadt;1;1;D;3;19;2;5;2;11;4;2;1;0;21;10;17
153;2017;11/12/17;Fortuna Dusseldorf;Nurnberg;0;2;A;14;17;4;7;5;5;1;5;0;0;14;22;17
154;2017;15/12/17;Union Berlin;Ingolstadt;1;2;A;14;11;4;3;8;5;2;2;0;0;15;11;18
155;2017;15/12/17;Braunschweig;Fortuna Dusseldorf;0;1;A;19;9;6;3;3;3;2;4;0;0;15;10;18
156;2017;16/12/17;Erzgebirge Aue;Heidenheim;1;1;D;7;16;1;3;2;8;1;4;0;0;6;16;18
157;2017;16/12/17;Kaiserslautern;Nurnberg;1;1;D;7;14;1;6;4;7;2;1;0;0;17;14;18
158;2017;16/12/17;Regensburg;Bielefeld;3;2;H;15;14;6;6;4;3;2;2;0;0;12;11;18
159;2017;17/12/17;Sandhausen;Holstein Kiel;3;1;H;11;16;5;5;5;13;4;5;1;1;19;21;18
160;2017;17/12/17;Greuther Furth;Darmstadt;1;1;D;10;18;1;7;5;6;3;4;0;0;15;22;18
161;2017;17/12/17;Duisburg;Dresden;2;0;H;13;10;5;2;7;4;2;3;0;0;12;9;18
162;2017;18/12/17;St Pauli;Bochum;2;1;H;11;15;7;4;6;9;2;4;0;1;11;11;18
163;2017;23/01/18;Nurnberg;Regensburg;2;2;D;10;15;6;4;3;5;0;4;0;0;11;16;19
164;2017;23/01/18;Holstein Kiel;Union Berlin;2;2;D;8;13;5;8;8;6;2;2;1;0;12;18;19
165;2017;23/01/18;Bochum;Duisburg;0;2;A;13;14;4;6;7;2;2;1;0;0;15;12;19
166;2017;23/01/18;Ingolstadt;Sandhausen;0;0;D;13;6;3;4;3;0;1;2;0;0;14;14;19
167;2017;24/01/18;Bielefeld;Greuther Furth;0;0;D;21;8;7;0;7;1;2;1;0;0;13;10;19
168;2017;24/01/18;Fortuna Dusseldorf;Erzgebirge Aue;2;1;H;17;9;6;4;5;4;2;2;0;0;13;18;19
169;2017;24/01/18;Heidenheim;Braunschweig;2;0;H;13;15;3;4;8;4;2;5;0;0;16;24;19
170;2017;25/01/18;Dresden;St Pauli;1;3;A;26;12;7;7;14;2;3;1;0;0;16;10;19
171;2017;26/01/18;Regensburg;Ingolstadt;3;2;H;14;11;5;5;5;2;3;2;0;0;15;22;19
172;2017;02/02/18;Fortuna Dusseldorf;Sandhausen;1;0;H;7;10;2;4;3;7;2;1;0;0;15;21;20
173;2017;26/01/18;Union Berlin;Nurnberg;0;1;A;11;12;3;5;6;6;2;1;2;1;11;13;20
